content_id,imdb_id,title,genre,release_year,avg_rating,total_views,runtime_min,popularity,is_classic,language,is_original,director,country,budget,gross,votes,num_seasons
M0035423,0035423,Kate &amp; Leopold,Comedy,2001.0,3.23,28,100,3.367295829986474,0,English,False,,,,,,1
M0078935,0078935,Cannibal Holocaust,Adventure,1980.0,3.12,33,105,3.5263605246161616,1,English,False,,,,,,1
M0080319,0080319,Nine to Five,Comedy,1980.0,3.96,13,100,2.6390573296152584,1,English,False,,,,,,1
M0080339,0080339,Airplane!,Comedy,1980.0,3.94,110,88,4.709530201312334,1,Other,False,Jim Abrahams,United States,3500000.0,83453539.0,221000.0,1
M0080365,0080365,American Gigolo,Crime,1980.0,2.93,14,117,2.70805020110221,1,Other,False,Paul Schrader,United States,4800000.0,22743674.0,22000.0,1
M0080453,0080453,The Blue Lagoon,Adventure,1980.0,3.27,13,104,2.6390573296152584,1,Other,False,Randal Kleiser,United States,4500000.0,58853106.0,65000.0,1
M0080455,0080455,The Blues Brothers,Adventure,1980.0,4.18,79,133,4.382026634673881,1,Other,False,John Landis,United States,27000000.0,115229890.0,188000.0,1
M0080487,0080487,Caddyshack,Comedy,1980.0,3.76,33,98,3.5263605246161616,1,Other,False,Harold Ramis,United States,6000000.0,39846344.0,108000.0,1
M0080516,0080516,The Changeling,Horror,1980.0,3.61,19,96,2.995732273553991,1,English,False,,,,,,1
M0080569,0080569,Cruising,Crime,1980.0,3.29,12,102,2.5649493574615367,1,Other,False,William Friedkin,West Germany,11000000.0,19814523.0,20000.0,1
M0080610,0080610,Le dernier métro,Drama,1980.0,3.7,10,109,2.3978952727983707,1,English,False,,,,,,1
M0080661,0080661,Dressed to Kill,Thriller,1980.0,3.63,27,104,3.332204510175204,1,Other,False,Brian De Palma,United States,6500000.0,31899000.0,37000.0,1
M0080678,0080678,The Elephant Man,Biography,1980.0,4.24,140,117,4.948759890378168,1,English,False,,,,,,1
M0080684,0080684,Star Wars: Episode V - The Empire Strikes Back,Action,1980.0,4.33,334,124,5.814130531825066,1,Other,False,Irvin Kershner,United States,18000000.0,538375067.0,1200000.0,1
M0080745,0080745,Flash Gordon,Action,1980.0,3.46,37,107,3.6375861597263857,1,English,False,,,,,,1
M0080749,0080749,The Fog,Horror,1980.0,3.53,30,89,3.4339872044851463,1,Other,False,John Carpenter,United States,1000000.0,21448782.0,66000.0,1
M0080761,0080761,Friday the 13th,Horror,1980.0,3.29,59,95,4.0943445622221,1,Other,False,Sean S. Cunningham,United States,550000.0,39754601.0,123000.0,1
M0080801,0080801,The Gods Must Be Crazy,Comedy,1980.0,3.54,13,109,2.6390573296152584,1,Other,False,Jamie Uys,South Africa,5000000.0,30031783.0,54000.0,1
M0080979,0080979,Kagemusha,Drama,1980.0,4.12,13,109,2.6390573296152584,1,English,False,,,,,,1
M0081059,0081059,Lion of the Desert,Biography,1980.0,3.96,13,173,2.6390573296152584,1,Other,False,Moustapha Akkad,Libya,35000000.0,,15000.0,1
M0081070,0081070,The Long Good Friday,Crime,1980.0,3.89,28,109,3.367295829986474,1,English,False,,,,,,1
M0081283,0081283,Ordinary People,Drama,1980.0,3.88,34,124,3.5553480614894135,1,Other,False,Robert Redford,United States,6000000.0,54766923.0,49000.0,1
M0081318,0081318,Paura nella città dei morti viventi,Horror,1980.0,3.05,11,96,2.4849066497880004,1,English,False,,,,,,1
M0081375,0081375,Private Benjamin,Comedy,1980.0,3.29,17,109,2.8903717578961645,1,Other,False,Howard Zieff,United States,10000000.0,69847348.0,24000.0,1
M0081383,0081383,Prom Night,Horror,1980.0,2.82,11,92,2.4849066497880004,1,Other,False,Paul Lynch,Canada,,14796236.0,16000.0,1
M0081398,0081398,Raging Bull,Biography,1980.0,4.17,209,129,5.3471075307174685,1,Other,False,Martin Scorsese,United States,18000000.0,23402427.0,330000.0,1
M0081455,0081455,Scanners,Horror,1981.0,3.57,23,103,3.1780538303479458,1,Other,False,David Cronenberg,Canada,,14225876.0,51000.0,1
M0081505,0081505,The Shining,Drama,1980.0,4.06,501,146,6.218600119691729,1,Other,False,Stanley Kubrick,United Kingdom,19000000.0,46998772.0,927000.0,1
M0081534,0081534,Somewhere in Time,Drama,1980.0,4.03,19,103,2.995732273553991,1,Other,False,Jeannot Szwarc,United States,5100000.0,9709597.0,27000.0,1
M0081554,0081554,Stardust Memories,Comedy,1980.0,3.58,12,89,2.5649493574615367,1,Other,False,Woody Allen,United States,10000000.0,10389003.0,22000.0,1
M0081562,0081562,Stir Crazy,Comedy,1980.0,3.88,12,111,2.5649493574615367,1,Other,False,Sidney Poitier,United States,,101300000.0,26000.0,1
M0081573,0081573,Superman II,Action,1980.0,3.7,50,127,3.9318256327243257,1,Other,False,Richard Lester,United States,54000000.0,108185706.0,101000.0,1
M0081633,0081633,Time Bandits,Adventure,1981.0,3.47,15,110,2.772588722239781,1,Other,False,Terry Gilliam,United Kingdom,5000000.0,42368025.0,60000.0,1
M0082010,0082010,An American Werewolf in London,Comedy,1981.0,3.87,72,97,4.290459441148391,1,Other,False,John Landis,United Kingdom,10000000.0,30669378.0,97000.0,1
M0082031,0082031,Arthur,Comedy,1981.0,3.7,10,97,2.3978952727983707,1,Other,False,Steve Gordon,United States,7000000.0,95461682.0,27000.0,1
M0082085,0082085,Blow Out,Thriller,1981.0,3.84,40,108,3.713572066704308,1,Other,False,Brian De Palma,United States,18000000.0,12000000.0,47000.0,1
M0082089,0082089,Body Heat,Crime,1981.0,3.82,20,113,3.044522437723423,1,Other,False,Lawrence Kasdan,United States,,24058838.0,32000.0,1
M0082096,0082096,Das Boot,Adventure,1981.0,4.21,85,149,4.454347296253507,1,Other,False,Wolfgang Petersen,West Germany,,11487676.0,237000.0,1
M0082136,0082136,The Cannonball Run,Action,1981.0,3.65,13,95,2.6390573296152584,1,Other,False,Hal Needham,United States,18000000.0,72179579.0,34000.0,1
M0082158,0082158,Chariots of Fire,Biography,1981.0,3.45,20,125,3.044522437723423,1,Other,False,Hugh Hudson,United Kingdom,5500000.0,59303359.0,56000.0,1
M0082176,0082176,Christiane F. - Wir Kinder vom Bahnhof Zoo,Biography,1981.0,4.0,12,117,2.5649493574615367,1,English,False,,,,,,1
M0082186,0082186,Clash of the Titans,Action,1981.0,3.81,16,118,2.833213344056216,1,Other,False,Desmond Davis,United Kingdom,15000000.0,41092328.0,42000.0,1
M0082198,0082198,Conan the Barbarian,Adventure,1982.0,3.5,35,129,3.58351893845611,1,Other,False,John Milius,United States,20000000.0,68851475.0,141000.0,1
M0082242,0082242,Dead &amp; Buried,Horror,1981.0,3.5,10,96,2.3978952727983707,1,English,False,,,,,,1
M0082307,0082307,...E tu vivrai nel terrore! L&x27;aldilà,Horror,1981.0,3.33,12,96,2.5649493574615367,1,English,False,,,,,,1
M0082334,0082334,The Entity,Drama,1982.0,3.5,11,125,2.4849066497880004,1,Other,False,Sidney J. Furie,United States,9000000.0,13277558.0,15000.0,1
