content_id,avg_polarity,review_count,pct_positive,pct_neutral,pct_negative,avg_subjectivity,avg_acting_score,avg_plot_score,avg_visual_score
M0035423,-0.276,5,0.0,60.0,40.0,0.459,-0.187,-0.187,0.0
M0078935,0.015,5,40.0,20.0,40.0,0.657,0.16,0.13,0.0
M0080319,0.086,5,60.0,20.0,20.0,0.593,0.093,0.102,0.093
M0080339,0.59,5,80.0,20.0,0.0,0.784,0.0,0.498,0.348
M0080365,0.032,5,40.0,40.0,20.0,0.549,-0.096,0.054,0.0
M0080453,-0.15,5,0.0,80.0,20.0,0.41,-0.079,-0.079,0.0
M0080455,0.455,5,80.0,20.0,0.0,0.622,0.147,0.312,0.101
M0080487,0.12,5,60.0,0.0,40.0,0.765,0.207,0.067,0.093
M0080516,0.237,5,40.0,60.0,0.0,0.557,0.092,0.137,0.202
M0080569,-0.108,5,20.0,60.0,20.0,0.5,0.017,-0.063,0.0
M0080610,0.319,5,60.0,40.0,0.0,0.573,0.158,0.141,0.217
M0080661,-0.095,5,20.0,60.0,20.0,0.504,-0.083,0.017,0.0
M0080678,0.191,5,60.0,20.0,20.0,0.571,0.108,0.101,0.179
M0080684,0.526,5,100.0,0.0,0.0,0.705,0.329,0.237,0.31
M0080745,0.416,5,80.0,20.0,0.0,0.597,0.142,0.238,0.217
M0080749,0.024,5,40.0,40.0,20.0,0.506,0.065,0.117,0.0
M0080761,0.332,5,60.0,40.0,0.0,0.62,0.191,0.115,0.187
M0080801,-0.192,5,40.0,20.0,40.0,0.478,-0.057,-0.185,0.0
M0080979,0.294,5,60.0,40.0,0.0,0.442,0.174,0.013,0.093
M0081059,0.233,5,60.0,20.0,20.0,0.712,0.187,0.052,0.187
M0081070,0.266,5,80.0,0.0,20.0,0.563,0.13,0.25,0.0
M0081283,0.192,5,40.0,60.0,0.0,0.391,0.04,0.251,0.0
M0081318,-0.219,5,20.0,20.0,60.0,0.659,0.027,-0.12,0.0
M0081375,-0.173,5,20.0,40.0,40.0,0.557,0.017,-0.081,0.0
M0081383,-0.566,5,20.0,0.0,80.0,0.63,-0.1,-0.491,0.0
M0081398,0.2,5,60.0,20.0,20.0,0.626,0.004,0.197,0.123
M0081455,0.307,5,60.0,20.0,20.0,0.574,-0.007,0.161,0.093
M0081505,0.365,5,80.0,20.0,0.0,0.491,0.247,0.0,0.187
M0081534,0.314,5,60.0,40.0,0.0,0.554,0.289,0.117,0.172
M0081554,0.412,5,60.0,40.0,0.0,0.704,0.0,0.358,0.247
M0081562,0.526,5,80.0,20.0,0.0,0.659,0.176,0.228,0.396
M0081573,0.32,5,40.0,40.0,20.0,0.55,0.0,0.3,0.0
M0081633,-0.09,5,20.0,60.0,20.0,0.555,-0.003,-0.096,0.093
M0082010,0.335,5,60.0,40.0,0.0,0.56,0.038,0.217,0.0
M0082031,-0.058,5,20.0,60.0,20.0,0.496,0.013,0.113,0.0
M0082085,0.192,5,60.0,40.0,0.0,0.442,0.168,0.013,0.093
M0082089,0.211,5,60.0,40.0,0.0,0.494,0.12,0.107,0.093
M0082096,0.364,5,100.0,0.0,0.0,0.584,0.151,0.313,0.0
M0082136,0.069,5,20.0,80.0,0.0,0.461,0.015,0.115,0.0
M0082158,-0.043,5,40.0,20.0,40.0,0.546,-0.06,0.054,0.0
M0082176,0.467,5,80.0,20.0,0.0,0.58,0.323,0.213,0.078
M0082186,0.096,5,40.0,60.0,0.0,0.341,0.103,0.034,0.0
M0082198,0.161,5,40.0,40.0,20.0,0.59,0.004,0.265,0.0
M0082242,0.123,5,20.0,60.0,20.0,0.563,0.013,0.163,0.0
M0082307,-0.356,5,0.0,60.0,40.0,0.563,0.008,-0.237,0.0
M0082334,0.353,5,80.0,0.0,20.0,0.7,0.2,0.265,0.101
M0082340,0.158,5,40.0,20.0,40.0,0.594,0.0,0.153,0.0
M0082348,-0.222,5,20.0,40.0,40.0,0.59,0.0,-0.096,0.0
M0082377,0.16,5,40.0,40.0,20.0,0.645,0.004,0.154,0.0
M0082398,0.199,5,40.0,40.0,20.0,0.563,0.028,0.178,0.0
M0082406,0.2,5,60.0,20.0,20.0,0.683,0.123,0.123,0.182
M0082418,0.034,5,40.0,20.0,40.0,0.761,0.0,0.127,0.123
M0082432,0.652,5,100.0,0.0,0.0,0.709,0.187,0.335,0.411
M0082495,0.235,5,60.0,20.0,20.0,0.54,0.03,0.25,0.0
M0082509,0.246,5,60.0,40.0,0.0,0.591,0.03,0.15,0.164
M0082517,0.23,5,60.0,20.0,20.0,0.615,0.004,0.377,0.123
M0082533,0.227,5,60.0,40.0,0.0,0.628,0.131,0.1,0.093
M0082694,0.325,5,40.0,60.0,0.0,0.607,0.13,0.28,0.0
M0082783,0.331,5,80.0,20.0,0.0,0.688,0.0,0.327,0.247
M0082846,0.452,5,80.0,20.0,0.0,0.673,0.051,0.377,0.123
M0082869,-0.067,5,20.0,60.0,20.0,0.416,0.015,0.041,0.0
M0082933,0.097,5,20.0,80.0,0.0,0.524,0.101,0.008,0.093
M0082934,0.042,5,20.0,60.0,20.0,0.502,0.111,0.017,0.093
M0082971,0.556,5,80.0,20.0,0.0,0.631,0.313,0.238,0.187
M0082979,0.343,5,80.0,0.0,20.0,0.742,0.193,0.33,0.093
M0083131,0.237,5,40.0,60.0,0.0,0.722,0.004,0.251,0.247
M0083190,0.279,5,80.0,0.0,20.0,0.643,0.093,0.15,0.318
M0083284,0.12,5,20.0,60.0,20.0,0.362,0.027,0.138,0.0
M0083511,0.165,5,40.0,60.0,0.0,0.48,0.142,0.015,0.093
M0083530,-0.045,5,0.0,100.0,0.0,0.517,0.021,0.021,0.0
M0083550,-0.058,5,40.0,0.0,60.0,0.641,0.0,0.251,0.101
M0083564,0.302,5,60.0,40.0,0.0,0.504,0.041,0.254,0.0
M0083624,-0.242,5,20.0,20.0,60.0,0.627,0.093,-0.098,0.093
M0083658,0.325,5,60.0,40.0,0.0,0.601,0.043,0.26,0.247
M0083722,-0.283,5,20.0,40.0,40.0,0.618,-0.062,-0.247,0.0
M0083767,0.43,5,80.0,20.0,0.0,0.643,0.251,0.207,0.093
M0083791,0.224,5,60.0,40.0,0.0,0.576,0.145,0.104,0.093
M0083866,0.382,5,60.0,20.0,20.0,0.629,0.097,0.277,0.217
M0083907,0.456,5,80.0,20.0,0.0,0.586,0.207,0.263,0.093
M0083908,0.226,5,40.0,40.0,20.0,0.575,0.017,0.264,0.247
M0083922,0.475,5,80.0,20.0,0.0,0.739,0.093,0.347,0.34
M0083929,0.087,5,40.0,40.0,20.0,0.498,0.104,0.104,0.0
M0083944,0.489,5,80.0,20.0,0.0,0.628,0.093,0.335,0.217
M0083946,0.266,5,60.0,40.0,0.0,0.574,0.0,0.323,0.123
M0083972,0.246,5,40.0,60.0,0.0,0.632,0.113,0.214,0.101
M0083987,0.187,5,60.0,20.0,20.0,0.694,0.13,-0.023,0.217
M0084335,0.328,5,60.0,20.0,20.0,0.717,0.104,0.377,0.123
M0084434,0.402,5,60.0,40.0,0.0,0.526,0.14,0.357,0.0
M0084503,0.437,5,80.0,20.0,0.0,0.664,0.245,0.227,0.264
M0084516,0.662,5,100.0,0.0,0.0,0.718,0.4,0.511,0.0
M0084522,0.168,5,40.0,20.0,40.0,0.563,0.093,0.123,0.217
M0084602,0.206,5,40.0,60.0,0.0,0.558,0.111,0.212,0.101
M0084649,0.018,5,40.0,20.0,40.0,0.579,0.113,0.067,0.013
M0084695,-0.646,5,0.0,20.0,80.0,0.715,0.0,-0.538,0.0
M0084707,0.029,5,20.0,80.0,0.0,0.498,0.004,0.104,0.0
M0084726,0.387,5,80.0,0.0,20.0,0.533,0.0,0.351,0.101
M0084777,0.258,5,60.0,40.0,0.0,0.545,0.131,0.1,0.093
M0084787,0.411,5,100.0,0.0,0.0,0.542,0.067,0.201,0.123
M0084805,0.272,5,80.0,20.0,0.0,0.505,0.127,0.204,0.093
M0084827,0.136,5,40.0,40.0,20.0,0.413,0.053,0.13,0.0
M0084855,0.611,5,100.0,0.0,0.0,0.659,0.116,0.385,0.202
M0084917,0.504,5,80.0,20.0,0.0,0.678,0.0,0.485,0.123
M0085244,0.217,5,60.0,20.0,20.0,0.615,0.007,0.143,0.093
M0085333,0.285,5,60.0,20.0,20.0,0.519,0.113,0.263,0.0
M0085334,0.45,5,80.0,20.0,0.0,0.619,0.082,0.328,0.303
M0085382,-0.364,5,20.0,20.0,60.0,0.512,0.061,-0.133,0.0
M0085407,0.104,5,60.0,40.0,0.0,0.446,0.008,0.108,0.0
M0085549,-0.006,5,40.0,20.0,40.0,0.607,0.14,0.105,0.0
M0085636,-0.343,5,20.0,20.0,60.0,0.603,-0.103,-0.343,0.093
M0085701,0.145,5,40.0,40.0,20.0,0.572,-0.1,0.111,0.0
M0085750,-0.512,5,0.0,20.0,80.0,0.673,0.0,-0.196,0.0
M0085794,0.386,5,80.0,0.0,20.0,0.674,0.093,0.3,0.093
M0085811,0.42,5,60.0,40.0,0.0,0.642,0.113,0.36,0.247
M0085859,0.154,5,60.0,40.0,0.0,0.488,0.0,0.1,0.0
M0085959,0.31,5,80.0,20.0,0.0,0.494,0.154,0.1,0.093
M0085970,0.227,5,40.0,60.0,0.0,0.499,0.124,0.131,0.093
M0085995,0.348,5,60.0,40.0,0.0,0.651,0.14,0.341,0.123
M0086006,0.023,5,40.0,40.0,20.0,0.53,-0.072,0.051,0.123
M0086022,0.596,5,100.0,0.0,0.0,0.695,0.223,0.373,0.217
M0086034,0.019,5,40.0,40.0,20.0,0.497,0.112,0.019,0.093
M0086066,0.112,5,60.0,20.0,20.0,0.613,0.223,-0.047,0.093
M0086154,0.32,5,60.0,40.0,0.0,0.666,0.1,0.25,0.0
M0086190,0.585,5,100.0,0.0,0.0,0.659,0.197,0.348,0.123
M0086197,0.532,5,80.0,20.0,0.0,0.759,0.097,0.374,0.464
M0086200,-0.09,5,40.0,20.0,40.0,0.701,0.004,-0.037,0.123
