content_id,date,daily_views,avg_rating
M0369610,2015-06-01,212700,3.722849083215797
M0369610,2015-07-01,59100,3.6522842639593907
M0369610,2015-08-01,16800,3.4732142857142856
M0369610,2015-09-01,7800,3.3846153846153846
M0369610,2015-10-01,9900,3.6363636363636362
M0369610,2015-11-01,10200,3.6029411764705883
M0369610,2015-12-01,6900,3.347826086956522
M0369610,2016-01-01,5400,3.0833333333333335
M0369610,2016-02-01,4500,3.6
M0369610,2016-03-01,2100,3.4285714285714284
M0369610,2016-04-01,3300,3.6363636363636362
M0369610,2016-05-01,3600,2.9166666666666665
M0369610,2016-06-01,1500,3.1
M0369610,2016-07-01,1800,3.4166666666666665
M0369610,2016-08-01,1500,3.8
M0369610,2016-09-01,900,3.5
M0369610,2016-10-01,1200,2.625
M0369610,2016-11-01,600,2.75
M0369610,2016-12-01,600,3.75
M0369610,2017-02-01,300,3.0
M0369610,2017-03-01,300,3.0
M0369610,2017-04-01,600,4.0
M0369610,2017-06-01,1200,2.875
M0369610,2017-07-01,600,4.5
M0369610,2017-08-01,900,3.3333333333333335
M0369610,2017-10-01,300,3.0
M0369610,2017-12-01,1200,3.25
M0369610,2018-01-01,2400,3.625
M0369610,2018-02-01,300,4.0
M0369610,2018-03-01,1200,3.25
M0369610,2018-04-01,300,3.0
M0369610,2018-05-01,600,4.25
M0369610,2018-06-01,2100,3.5714285714285716
M0369610,2018-07-01,900,4.0
M0369610,2018-08-01,600,3.0
M0369610,2018-09-01,300,3.5
M0369610,2018-10-01,300,5.0
M0369610,2018-12-01,300,4.0
M0369610,2019-01-01,600,3.75
M0369610,2019-05-01,300,3.5
M0369610,2020-01-01,300,2.5
M0369610,2020-05-01,300,3.5
M0369610,2020-06-01,300,3.5
M0369610,2021-10-01,300,4.0
M0369610,2021-11-01,300,4.0
M0451279,2017-05-01,4200,3.9285714285714284
M0451279,2017-06-01,121800,3.9864532019704435
M0451279,2017-07-01,63000,3.6547619047619047
M0451279,2017-08-01,18300,3.7049180327868854
M0451279,2017-09-01,63000,3.6
M0451279,2017-10-01,12900,3.313953488372093
M0451279,2017-11-01,11100,3.554054054054054
M0451279,2017-12-01,5100,3.6176470588235294
M0451279,2018-01-01,4800,3.5
M0451279,2018-02-01,3300,3.8636363636363638
M0451279,2018-03-01,7500,3.42
M0451279,2018-04-01,2700,3.8333333333333335
M0451279,2018-05-01,2400,3.5625
M0451279,2018-06-01,900,2.1666666666666665
M0451279,2018-07-01,1800,3.5
M0451279,2018-08-01,1800,4.416666666666667
M0451279,2018-09-01,1200,4.125
M0451279,2018-10-01,300,2.5
M0451279,2018-11-01,900,3.8333333333333335
M0451279,2018-12-01,1500,4.0
M0451279,2019-01-01,600,3.75
M0451279,2019-02-01,600,4.0
M0451279,2019-03-01,1800,4.5
M0451279,2019-04-01,1200,3.875
M0451279,2019-05-01,300,3.5
M0451279,2019-07-01,300,4.5
M0451279,2019-08-01,300,4.0
M0451279,2019-09-01,600,4.5
M0451279,2019-10-01,600,4.25
M0451279,2019-11-01,300,5.0
M0451279,2020-01-01,3000,3.9
