user_id,content_id,timestamp,rating,watch_percentage,device,mood,genre,hour,dayofweek,month,year,review,genre_label,polarity,subjectivity,sentiment,aspect_acting,aspect_plot,aspect_visuals,aspect_sound
32882,M0035423,2014-01-08 04:12:01,2.5,27.7,Mobile,Happy,Comedy,4,2,1,2014,Disappointing comedy. The plot is boring and the acting is poor.,Comedy,-0.652,0.575,Negative,-0.5,-0.5,0.0,0.0
39125,M0035423,2013-09-29 13:57:02,2.0,10.8,Laptop,Happy,Comedy,13,6,9,2013,Disappointing comedy. The plot is boring and the acting is poor.,Comedy,-0.652,0.575,Negative,-0.5,-0.5,0.0,0.0
20543,M0035423,2014-01-05 21:27:00,3.0,29.3,Smart TV,Happy,Comedy,21,6,1,2014,Has its moments. Some scenes are decent but overall feels mediocre.,Comedy,-0.1467,0.5556,Neutral,0.0,0.0,0.0,0.0
69602,M0035423,2016-05-04 06:12:44,3.0,33.8,Mobile,Happy,Comedy,6,2,5,2016,Passable comedy. The acting is okay but the plot feels a bit slow.,Comedy,-0.024,0.3,Neutral,0.067,0.067,0.0,0.0
17405,M0035423,2017-09-26 18:59:30,3.0,36.9,Smart TV,Happy,Comedy,18,1,9,2017,A decent comedy with some solid moments. Not without flaws but worth watching.,Comedy,0.0933,0.2889,Neutral,0.0,0.0,0.0,0.0
34315,M0078935,2014-06-06 23:44:44,3.0,54.2,Mobile,Excited,Adventure,23,4,6,2014,Mixed feelings. Strong performances let down by a predictable story.,Adventure,-0.0843,0.4431,Neutral,0.019,0.019,0.0,0.0
29634,M0078935,2015-10-26 20:49:47,2.5,36.2,Smart TV,Excited,Adventure,20,0,10,2015,One of the worst adventures in recent memory. Skip this mediocre film.,Adventure,-0.476,0.75,Negative,0.0,0.0,0.0,0.0
50733,M0078935,2013-09-07 00:57:05,4.0,56.0,Mobile,Excited,Adventure,0,5,9,2013,Completely captivating. The plot is brilliant and the cast is outstanding.,Adventure,0.78,0.9583,Positive,0.633,0.633,0.0,0.0
24079,M0078935,2014-03-22 07:18:34,5.0,79.4,Mobile,Excited,Adventure,7,5,3,2014,An absolute gem. The adventure is moving and the acting is stellar.,Adventure,0.33,0.3833,Positive,0.15,0.0,0.0,0.0
44902,M0078935,2016-07-03 01:16:25,2.5,14.9,Mobile,Excited,Adventure,1,6,7,2016,One of the worst adventures in recent memory. Skip this mediocre film.,Adventure,-0.476,0.75,Negative,0.0,0.0,0.0,0.0
7077,M0080319,2013-03-23 23:01:07,5.0,82.2,Mobile,Happy,Comedy,23,5,3,2013,A cinematic masterpiece. Incredible performances and stunning cinematography.,Comedy,0.672,0.7,Positive,0.467,0.0,0.467,0.0
68019,M0080319,2014-06-26 18:19:13,4.0,44.5,Smart TV,Happy,Comedy,18,3,6,2014,One of the most revelation films I have ever seen. immersive storytelling.,Comedy,0.3,0.5,Positive,0.0,0.5,0.0,0.0
19968,M0080319,2015-04-23 06:59:50,4.0,44.0,Mobile,Happy,Comedy,6,3,4,2015,One of the most triumph films I have ever seen. thought-provoking storytelling.,Comedy,0.3,0.5,Positive,0.0,0.5,0.0,0.0
9087,M0080319,2016-02-14 13:24:00,3.5,46.9,Laptop,Happy,Comedy,13,6,2,2016,Has its moments. Some scenes are decent but overall feels mediocre.,Comedy,-0.1467,0.5556,Neutral,0.0,0.0,0.0,0.0
60334,M0080319,2020-04-04 07:32:04,2.5,32.2,Mobile,Happy,Comedy,7,5,4,2020,A dull and forgettable comedy. Terrible pacing and bland characters.,Comedy,-0.6938,0.7083,Negative,0.0,-0.49,0.0,0.0
2216,M0080339,2017-12-15 18:56:44,5.0,64.5,Smart TV,Happy,Comedy,18,4,12,2017,This is a timeless triumph. The soundtrack is phenomenal and the script is flawless.,Comedy,0.85,0.75,Positive,0.0,0.75,0.0,0.75
56538,M0080339,2014-07-16 02:06:11,4.0,65.9,Mobile,Happy,Comedy,2,2,7,2014,A true gem. Breathtaking visuals and a gripping narrative.,Comedy,0.65,0.8833,Positive,0.0,0.617,0.617,0.0
40431,M0080339,2020-03-20 20:35:57,4.5,71.1,Smart TV,Happy,Comedy,20,4,3,2020,A true masterpiece. Breathtaking visuals and a gripping narrative.,Comedy,0.77,0.8833,Positive,0.0,0.617,0.617,0.0
7740,M0080339,2015-06-29 10:03:29,3.5,42.2,Laptop,Happy,Comedy,10,0,6,2015,"Average comedy. Nothing groundbreaking, but not boring either.",Comedy,-0.015,0.7,Neutral,0.0,0.0,0.0,0.0
17456,M0080339,2015-01-01 20:56:43,4.5,75.3,Smart TV,Happy,Comedy,20,3,1,2015,A true classic. Breathtaking visuals and a gripping narrative.,Comedy,0.6945,0.7042,Positive,0.0,0.504,0.504,0.0
52101,M0080365,2018-05-06 20:32:44,3.0,30.9,Smart TV,Tense,Crime,20,6,5,2018,Has its moments. Some scenes are decent but overall feels mediocre.,Crime,-0.1467,0.5556,Neutral,0.0,0.0,0.0,0.0
17144,M0080365,2015-01-31 20:14:33,4.0,65.4,Smart TV,Tense,Crime,20,5,1,2015,This is a timeless triumph. The soundtrack is phenomenal and the script is flawless.,Crime,0.85,0.75,Positive,0.0,0.75,0.0,0.75
33390,M0080365,2015-07-20 01:09:06,3.5,55.2,Mobile,Tense,Crime,1,0,7,2015,A decent crime with some interesting moments. Not without flaws but worth watching.,Crime,0.1933,0.4222,Positive,0.0,0.0,0.0,0.0
63782,M0080365,2020-08-09 08:33:00,2.5,42.1,Mobile,Tense,Crime,8,6,8,2020,Disappointing crime. The plot is boring and the acting is poor.,Crime,-0.652,0.575,Negative,-0.5,-0.5,0.0,0.0
52621,M0080365,2013-09-08 05:35:23,3.5,56.5,Mobile,Tense,Crime,5,6,9,2013,Mixed feelings. Strong performances let down by a predictable story.,Crime,-0.0843,0.4431,Neutral,0.019,0.019,0.0,0.0
48954,M0080453,2014-08-24 03:55:15,3.0,34.8,Mobile,Excited,Adventure,3,6,8,2014,Mixed feelings. Strong performances let down by a predictable story.,Adventure,-0.0843,0.4431,Neutral,0.019,0.019,0.0,0.0
35031,M0080453,2018-03-02 13:26:05,3.0,35.4,Laptop,Excited,Adventure,13,4,3,2018,Mixed feelings. Strong performances let down by a predictable story.,Adventure,-0.0843,0.4431,Neutral,0.019,0.019,0.0,0.0
45003,M0080453,2017-11-18 19:51:42,2.5,43.9,Smart TV,Excited,Adventure,19,5,11,2017,Disappointing adventure. The plot is boring and the acting is poor.,Adventure,-0.652,0.575,Negative,-0.5,-0.5,0.0,0.0
17405,M0080453,2015-05-10 16:35:11,3.0,51.5,Laptop,Excited,Adventure,16,6,5,2015,A decent adventure with some solid moments. Not without flaws but worth watching.,Adventure,0.0933,0.2889,Neutral,0.0,0.0,0.0,0.0
25097,M0080453,2014-09-02 14:56:53,3.0,47.3,Laptop,Excited,Adventure,14,1,9,2014,Passable adventure. The acting is okay but the plot feels a bit slow.,Adventure,-0.024,0.3,Neutral,0.067,0.067,0.0,0.0
57124,M0080455,2013-11-08 03:41:36,5.0,68.6,Mobile,Excited,Adventure,3,4,11,2013,An absolute gem. The adventure is captivating and the acting is stellar.,Adventure,0.4065,0.5375,Positive,0.237,0.0,0.0,0.0
17514,M0080455,2018-05-11 10:49:08,5.0,75.9,Laptop,Excited,Adventure,10,4,5,2018,Completely immersive. The plot is brilliant and the cast is outstanding.,Adventure,0.588,0.7583,Positive,0.5,0.5,0.0,0.0
22591,M0080455,2018-11-18 17:32:17,3.5,39.5,Laptop,Excited,Adventure,17,6,11,2018,Has its moments. Some scenes are decent but overall feels mediocre.,Adventure,-0.1467,0.5556,Neutral,0.0,0.0,0.0,0.0
19360,M0080455,2015-05-10 12:42:40,4.5,74.6,Laptop,Excited,Adventure,12,6,5,2015,A true classic. Breathtaking visuals and a gripping narrative.,Adventure,0.6945,0.7042,Positive,0.0,0.504,0.504,0.0
56600,M0080455,2013-07-29 19:28:41,4.5,44.2,Smart TV,Excited,Adventure,19,0,7,2013,This is a timeless classic. The soundtrack is phenomenal and the script is flawless.,Adventure,0.7333,0.5556,Positive,0.0,0.556,0.0,0.556
