user_id,total_ratings,avg_rating_given,avg_watch_pct,unique_genres,favorite_genre,favorite_device,first_seen,last_seen,mobile_ratio,evening_ratio,tenure_days,ratings_per_day,subscription,age_group,days_inactive,churn_risk,is_active,avg_daily_hours
10004,147,3.58,51.43265306122449,11,Action,Smart TV,2013-08-27 23:33:26,2020-02-01 22:29:54,0.23809523809523808,0.8571428571428571,2348,0.0626,Standard,35-44,661,High,False,0.1
10007,7,4.5,61.128571428571426,4,Action,Mobile,2020-07-31 00:00:53,2021-07-16 19:56:57,0.7142857142857143,0.8571428571428571,350,0.02,Free,35-44,130,Medium,False,0.1
10010,10,4.0,53.760000000000005,5,Drama,Mobile,2020-02-12 19:15:35,2020-09-18 16:39:53,0.4,0.7,218,0.0459,Free,35-44,431,High,False,0.1
10016,182,3.09,43.26428571428572,7,Action,Smart TV,2013-09-14 22:31:28,2019-12-06 22:18:40,0.09340659340659341,0.9230769230769231,2273,0.0801,Standard,35-44,718,High,False,0.1
10018,6,4.67,65.13333333333334,4,Biography,Mobile,2018-11-17 01:37:45,2019-11-05 00:41:23,0.3333333333333333,0.6666666666666666,352,0.017,Free,25-34,750,High,False,0.1
10019,10,3.5,52.56,4,Action,Mobile,2013-10-13 02:59:04,2015-05-25 23:11:24,0.8,0.4,589,0.017,Free,35-44,2374,High,False,0.1
1002,16,3.94,58.8875,6,Drama,Smart TV,2017-01-24 21:10:59,2017-04-21 22:55:26,0.4375,0.75,87,0.1839,Free,25-34,1677,High,False,0.16
10022,8,4.5,61.45,5,Action,Laptop,2013-03-30 13:37:38,2014-03-22 14:58:15,0.0,0.25,357,0.0224,Free,45-54,2803,High,False,0.1
10025,10,4.55,64.06,5,Drama,Mobile,2017-12-06 16:04:35,2019-11-29 16:10:08,0.4,0.5,723,0.0138,Free,55+,725,High,False,0.1
10031,27,3.33,46.992592592592594,7,Action,Mobile,2014-11-11 21:43:19,2015-10-31 04:09:47,0.5555555555555556,0.37037037037037035,353,0.0765,Free,25-34,2216,High,False,0.1
10036,7,4.64,65.84285714285714,3,Action,Laptop,2018-03-12 20:45:19,2018-08-31 12:42:03,0.14285714285714285,0.42857142857142855,171,0.0409,Free,45-54,1180,High,False,0.1
10037,21,3.83,53.25238095238095,6,Action,Smart TV,2017-11-12 21:06:31,2019-10-08 23:25:10,0.09523809523809523,0.9523809523809523,695,0.0302,Free,25-34,777,High,False,0.1
10040,6,4.08,53.916666666666664,5,Adventure,Mobile,2013-06-24 00:48:11,2016-06-04 23:05:52,0.6666666666666666,0.8333333333333334,1076,0.0056,Free,35-44,1998,High,False,0.1
10046,131,3.37,47.519847328244275,10,Action,Laptop,2013-09-11 05:19:04,2017-02-25 20:33:33,0.22137404580152673,0.3435114503816794,1263,0.1037,Standard,55+,1732,High,False,0.1
10047,4,4.0,54.775,3,Drama,Smart TV,2013-04-11 19:21:40,2018-09-15 14:57:15,0.25,0.75,1982,0.002,Free,18-24,1165,High,False,0.1
10048,9,3.78,53.833333333333336,5,Comedy,Mobile,2013-06-23 01:36:53,2013-10-31 19:15:02,0.5555555555555556,0.8888888888888888,130,0.0692,Free,18-24,2945,High,False,0.1
1005,172,3.88,54.039534883720926,9,Action,Laptop,2013-03-22 16:10:03,2019-11-23 06:01:07,0.1686046511627907,0.05813953488372093,2436,0.0706,Standard,18-24,731,High,False,0.1
10050,28,3.27,44.43214285714286,10,Action,Smart TV,2013-10-24 10:05:48,2014-03-13 16:53:51,0.32142857142857145,0.7142857142857143,140,0.2,Free,45-54,2812,High,False,0.13
10051,8,4.56,63.0375,5,Drama,Smart TV,2015-12-07 14:10:51,2017-12-02 22:13:25,0.125,0.625,726,0.011,Free,45-54,1452,High,False,0.1
10052,5,4.1,64.72,4,Drama,Mobile,2015-03-09 17:39:35,2016-01-26 01:31:53,0.8,0.6,322,0.0155,Free,45-54,2129,High,False,0.1
10056,4,3.12,43.05,4,Crime,Smart TV,2016-01-17 23:06:18,2016-03-27 21:43:19,0.25,1.0,69,0.058,Free,55+,2067,High,False,0.1
1006,7,3.5,49.65714285714286,4,Action,Smart TV,2018-06-20 18:43:40,2018-11-03 21:30:58,0.2857142857142857,0.5714285714285714,136,0.0515,Free,45-54,1116,High,False,0.1
10060,11,3.73,49.654545454545456,7,Action,Mobile,2013-07-21 02:50:41,2014-08-11 19:58:59,0.7272727272727273,0.45454545454545453,386,0.0285,Free,25-34,2661,High,False,0.1
10061,8,3.38,49.475,5,Drama,Mobile,2013-07-02 23:28:21,2013-07-02 23:40:46,1.0,1.0,1,8.0,Free,45-54,3066,High,False,5.94
10064,25,3.82,54.736000000000004,7,Action,Smart TV,2015-07-01 01:17:52,2019-01-04 23:12:16,0.2,0.84,1283,0.0195,Free,18-24,1054,High,False,0.1
10065,18,3.94,49.583333333333336,8,Drama,Mobile,2016-02-27 00:12:30,2018-03-03 23:49:26,0.6666666666666666,0.9444444444444444,735,0.0245,Free,35-44,1361,High,False,0.1
10067,35,3.23,45.16,8,Action,Laptop,2013-09-10 17:02:00,2015-12-19 19:57:25,0.34285714285714286,0.5428571428571428,830,0.0422,Basic,18-24,2166,High,False,0.1
10069,5,4.7,64.92,4,Action,Mobile,2013-06-01 23:15:49,2016-01-25 17:12:29,0.8,0.2,967,0.0052,Free,55+,2129,High,False,0.1
10070,5,4.9,73.4,4,Drama,Smart TV,2013-03-03 18:35:52,2013-08-29 02:17:18,0.2,0.8,178,0.0281,Free,25-34,3009,High,False,0.1
10073,10,4.0,53.589999999999996,6,Action,Mobile,2013-04-03 18:28:04,2013-08-24 04:43:25,0.7,0.3,142,0.0704,Free,25-34,3014,High,False,0.1
